Protein IDs,Majority protein IDs,Peptide counts (unique),Fasta headers,Mol. weight [kDa],Intensity,B1.1_1,B1.1_2,B1.1_3,CT_1,B0.3_1,B0.3_2,B0.3_3,B1.1_4,CT_2,CT_3,B0.3_4,B0.3_5,CT_4,CT_5,B1.1_5
A0A3Q1LWD5;Q05B85;G3N151;A0A3Q1N1K0,A0A3Q1LWD5;Q05B85;G3N151;A0A3Q1N1K0,8;8;8;4,tr|A0A3Q1LWD5|A0A3Q1LWD5_BOVIN Jupiter microtubule associated homolog 2 OS=Bos taurus OX=9913 GN=JPT2 PE=1 SV=1;tr|Q05B85|Q05B85_BOVIN Hematological and neurological expressed 1-like OS=Bos taurus OX=9913 GN=JPT2 PE=1 SV=1;tr|G3N151|G3N151_BOVIN Jupiter mi,17.615,839260000,61058000,92373000,98830000,0,52653000,0,53362000,114260000,71155000,105890000,0,0,0,0,0
Q32KP9,Q32KP9,5,sp|Q32KP9|NTF2_BOVIN Nuclear transport factor 2 OS=Bos taurus OX=9913 GN=NUTF2 PE=2 SV=1,14.478,1876900000,59804000,156460000,85697000,0,124960000,145270000,127740000,214240000,180330000,87840000,155700000,165640000,178880000,156630000,196950000
F1N719;Q0V8L5;Q0V8M3,F1N719;Q0V8L5;Q0V8M3,6;4;4,tr|F1N719|F1N719_BOVIN Serine/threonine-protein phosphatase OS=Bos taurus OX=9913 GN=PPP5C PE=3 SV=1;tr|Q0V8L5|Q0V8L5_BOVIN Serine/threonine-protein phosphatase (Fragment) OS=Bos taurus OX=9913 GN=PPP5C PE=2 SV=1;tr|Q0V8M3|Q0V8M3_BOVIN Serine/threonine-pro,56.881,250460000,58604000,33888000,38479000,0,0,0,0,0,0,0,0,0,0,0,0
Q28194,Q28194,2,tr|Q28194|Q28194_BOVIN Thrombospondin-1 (Fragment) OS=Bos taurus OX=9913 PE=2 SV=1,25.015,539700000,58355000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O18789;M5FJW2;A0A452DIA7;A0A3Q1MAT9;A0A3Q1NLL5;A0A3Q1M656;A0A3Q1LT23;Q862M9;Q862E0;A0A3Q1MBL4,O18789;M5FJW2;A0A452DIA7;A0A3Q1MAT9;A0A3Q1NLL5;A0A3Q1M656,11;11;11;9;6;6;5;2;1;1,sp|O18789|RS2_BOVIN 40S ribosomal protein S2 OS=Bos taurus OX=9913 GN=RPS2 PE=2 SV=2;tr|M5FJW2|M5FJW2_BOVIN 40S ribosomal protein S2 OS=Bos taurus OX=9913 GN=RPS2 PE=3 SV=1;tr|A0A452DIA7|A0A452DIA7_BOVIN 40S ribosomal protein S2 OS=Bos taurus OX=9913 GN=RP,31.235,702620000,48022000,58371000,0,0,95618000,0,21639000,0,0,45413000,74896000,77525000,60653000,56591000,57932000
O97764,O97764,4,sp|O97764|QOR_BOVIN Zeta-crystallin OS=Bos taurus OX=9913 GN=CRYZ PE=2 SV=2,35.382,235820000,46845000,23390000,0,0,13492000,0,13798000,0,11651000,0,0,0,0,0,0
A0A3Q1LWN4;E1BME9;A0A3Q1N7L1,A0A3Q1LWN4;E1BME9;A0A3Q1N7L1,7;7;7,tr|A0A3Q1LWN4|A0A3Q1LWN4_BOVIN Complex I-9kD OS=Bos taurus OX=9913 GN=NDUFV3 PE=1 SV=1;tr|E1BME9|E1BME9_BOVIN Complex I-9kD OS=Bos taurus OX=9913 GN=NDUFV3 PE=1 SV=3;tr|A0A3Q1N7L1|A0A3Q1N7L1_BOVIN Complex I-9kD OS=Bos taurus OX=9913 GN=NDUFV3 PE=1 SV=1,50.85,487330000,44644000,54447000,17864000,0,39716000,36780000,28325000,0,29801000,0,26462000,27009000,25407000,30945000,38686000
Q3ZBW4,Q3ZBW4,12,sp|Q3ZBW4|PCNA_BOVIN Proliferating cell nuclear antigen OS=Bos taurus OX=9913 GN=PCNA PE=2 SV=1,28.748,571080000,43064000,51821000,56806000,0,0,0,0,0,0,0,55036000,37166000,64652000,0,39198000
A0A3Q1MKR2;G3X6L9;A0A3Q1MSP0,A0A3Q1MKR2;G3X6L9;A0A3Q1MSP0,21;21;20,tr|A0A3Q1MKR2|A0A3Q1MKR2_BOVIN Glutamyl-prolyl-tRNA synthetase 1 OS=Bos taurus OX=9913 GN=EPRS1 PE=1 SV=1;tr|G3X6L9|G3X6L9_BOVIN Glutamyl-prolyl-tRNA synthetase 1 OS=Bos taurus OX=9913 GN=EPRS1 PE=1 SV=2;tr|A0A3Q1MSP0|A0A3Q1MSP0_BOVIN Glutamyl-prolyl-tRNA ,170.74,431760000,42786000,57420000,0,0,29542000,0,28784000,16714000,41578000,0,32087000,29073000,36809000,25070000,44049000
Q3ZCJ7;A0A3Q1LQR2,Q3ZCJ7;A0A3Q1LQR2,1;1,sp|Q3ZCJ7|TBA1C_BOVIN Tubulin alpha-1C chain OS=Bos taurus OX=9913 GN=TUBA1C PE=1 SV=1;tr|A0A3Q1LQR2|A0A3Q1LQR2_BOVIN Tubulin alpha chain OS=Bos taurus OX=9913 GN=LOC112443216 PE=3 SV=1,49.857,595790000,40036000,50381000,38951000,0,0,0,135940000,0,27246000,104970000,38346000,28081000,0,44968000,42901000
Q95L14,Q95L14,3,sp|Q95L14|PTGES_BOVIN Prostaglandin E synthase OS=Bos taurus OX=9913 GN=PTGES PE=2 SV=1,17.297,152780000,39306000,17569000,0,0,27743000,0,0,0,0,0,0,0,0,0,0
Q3SZ32;E1BJ20;A0A3Q1MNT3;E1BF97,Q3SZ32;E1BJ20,4;4;2;2,tr|Q3SZ32|Q3SZ32_BOVIN Elongin B OS=Bos taurus OX=9913 GN=TCEB2 PE=2 SV=1;tr|E1BJ20|E1BJ20_BOVIN Ubiquitin-like domain-containing protein OS=Bos taurus OX=9913 PE=4 SV=1,13.17,475060000,39186000,39441000,0,0,0,0,0,0,0,0,0,54826000,38967000,37897000,0
Q2TBR3;A0A3Q1MQB1;F1N7I0,Q2TBR3;A0A3Q1MQB1,5;5;2,tr|Q2TBR3|Q2TBR3_BOVIN SET nuclear oncogene OS=Bos taurus OX=9913 GN=SET PE=2 SV=1;tr|A0A3Q1MQB1|A0A3Q1MQB1_BOVIN Uncharacterized protein OS=Bos taurus OX=9913 GN=LOC782688 PE=3 SV=1,32.117,322040000,38532000,0,0,0,0,0,0,0,0,0,41392000,62731000,35518000,0,63609000
E1BH22;A1A4R1;F1MRN2;A0A096LNF2,E1BH22;A1A4R1;F1MRN2;A0A096LNF2,3;3;3;3,tr|E1BH22|E1BH22_BOVIN Histone H2A OS=Bos taurus OX=9913 GN=H2AC18 PE=3 SV=3;sp|A1A4R1|H2A2C_BOVIN Histone H2A type 2-C OS=Bos taurus OX=9913 GN=H2AC20 PE=2 SV=1;tr|F1MRN2|F1MRN2_BOVIN Histone H2A OS=Bos taurus OX=9913 GN=H2AC20 PE=3 SV=3;tr|A0A096LNF2|A0A,14.111,1412400000,37374000,0,0,0,0,0,0,0,0,0,306620000,193540000,260700000,425220000,280160000
A3KMV6;A0A3Q1NB36;A0A3Q1MI86,A3KMV6;A0A3Q1NB36;A0A3Q1MI86,5;4;4,tr|A3KMV6|A3KMV6_BOVIN HNRNPR protein OS=Bos taurus OX=9913 GN=HNRNPR PE=1 SV=1;tr|A0A3Q1NB36|A0A3Q1NB36_BOVIN Heteroous nuclear ribonucleoprotein R OS=Bos taurus OX=9913 GN=HNRNPR PE=1 SV=1;tr|A0A3Q1MI86|A0A3Q1MI86_BOVIN Heteroous nuclear ribonucleoprotei,70.955,319500000,37330000,61385000,0,0,38825000,0,0,0,0,20834000,0,0,14413000,0,0
Q3ZC44;A0A3Q1LZD9,Q3ZC44;A0A3Q1LZD9,12;12,tr|Q3ZC44|Q3ZC44_BOVIN Heterogeneous nuclear ribonucleoprotein A/B OS=Bos taurus OX=9913 GN=HNRNPAB PE=1 SV=1;tr|A0A3Q1LZD9|A0A3Q1LZD9_BOVIN Heteroous nuclear ribonucleoprotein A/B OS=Bos taurus OX=9913 GN=HNRNPAB PE=1 SV=1,30.653,298670000,35561000,53885000,0,0,25717000,0,0,0,0,0,27394000,29471000,28732000,0,29592000
P81287;F6QVC9;A1L5B6;A0A3Q1MU33,P81287;F6QVC9;A1L5B6;A0A3Q1MU33,8;8;8;7,sp|P81287|ANXA5_BOVIN Annexin A5 OS=Bos taurus OX=9913 GN=ANXA5 PE=1 SV=3;tr|F6QVC9|F6QVC9_BOVIN Annexin OS=Bos taurus OX=9913 GN=ANXA5 PE=1 SV=1;tr|A1L5B6|A1L5B6_BOVIN Annexin OS=Bos taurus OX=9913 GN=ANXA5 PE=2 SV=1;tr|A0A3Q1MU33|A0A3Q1MU33_BOVIN Annexin,36.088,347350000,35281000,24549000,0,0,0,0,0,0,59328000,0,0,0,0,0,19077000
F1MJQ1;A0A3Q1M3K7;A0A3Q1M3F1;A0A3Q1LUM6;Q3T0F5,F1MJQ1;A0A3Q1M3K7;A0A3Q1M3F1;A0A3Q1LUM6;Q3T0F5,7;7;7;7;6,tr|F1MJQ1|F1MJQ1_BOVIN Ras-related protein Rab-7a OS=Bos taurus OX=9913 GN=RAB7A PE=1 SV=1;tr|A0A3Q1M3K7|A0A3Q1M3K7_BOVIN Ras-related protein Rab-7a OS=Bos taurus OX=9913 GN=RAB7A PE=1 SV=1;tr|A0A3Q1M3F1|A0A3Q1M3F1_BOVIN Ras-related protein Rab-7a OS=Bos t,23.516,285080000,34796000,0,0,0,23052000,0,22458000,0,35814000,31931000,23689000,25359000,42974000,20661000,0
A7MB62;A0A3Q1LXR9;A0A3Q1M2H2;A0A3Q1M5Y2,A7MB62;A0A3Q1LXR9;A0A3Q1M2H2,11;8;8;2,sp|A7MB62|ARP2_BOVIN Actin-related protein 2 OS=Bos taurus OX=9913 GN=ACTR2 PE=1 SV=1;tr|A0A3Q1LXR9|A0A3Q1LXR9_BOVIN Actin-related protein 2 OS=Bos taurus OX=9913 GN=ACTR2 PE=1 SV=1;tr|A0A3Q1M2H2|A0A3Q1M2H2_BOVIN Actin-related protein 2 OS=Bos taurus OX=99,44.76,357680000,34421000,24095000,0,0,0,0,56159000,0,0,0,31769000,37985000,45938000,37840000,0
A0A3Q1LFQ2,A0A3Q1LFQ2,4,tr|A0A3Q1LFQ2|A0A3Q1LFQ2_BOVIN Uncharacterized protein OS=Bos taurus OX=9913 PE=3 SV=1,28.607,363480000,34271000,61928000,33089000,0,40988000,0,0,0,39915000,0,0,0,0,0,31468000
Q08DU3,Q08DU3,9,tr|Q08DU3|Q08DU3_BOVIN Interleukin-33 OS=Bos taurus OX=9913 GN=IL33 PE=2 SV=1,31.152,306430000,34058000,33180000,0,0,0,0,0,0,0,0,0,34592000,22441000,29349000,39852000
A0A3Q1MLR0;Q5EA64;F1N103;Q08DB7,A0A3Q1MLR0;Q5EA64;F1N103;Q08DB7,6;6;6;5,tr|A0A3Q1MLR0|A0A3Q1MLR0_BOVIN Cochlin OS=Bos taurus OX=9913 GN=COCH PE=4 SV=1;sp|Q5EA64|COCH_BOVIN Cochlin OS=Bos taurus OX=9913 GN=COCH PE=2 SV=1;tr|F1N103|F1N103_BOVIN Cochlin OS=Bos taurus OX=9913 GN=COCH PE=4 SV=2;tr|Q08DB7|Q08DB7_BOVIN Cochlin OS=Bos,57.014,348680000,33797000,0,32558000,0,65722000,0,89833000,71937000,0,63997000,0,0,0,0,0
A2VE47,A2VE47,9,sp|A2VE47|ADPGK_BOVIN ADP-dependent glucokinase OS=Bos taurus OX=9913 GN=ADPGK PE=2 SV=1,54.085,188570000,33178000,0,0,0,24084000,0,0,0,0,0,0,0,0,0,0
P22292;A5D954,P22292,3;1,sp|P22292|M2OM_BOVIN Mitochondrial 2-oxoglutarate/malate carrier protein OS=Bos taurus OX=9913 GN=SLC25A11 PE=1 SV=3,34.171,257280000,31618000,37718000,0,0,0,0,0,0,0,0,19027000,0,13339000,0,17451000
A5PK45;A0A3Q1N2V9,A5PK45;A0A3Q1N2V9,16;13,sp|A5PK45|GT251_BOVIN Procollagen galactosyltransferase 1 OS=Bos taurus OX=9913 GN=COLGALT1 PE=2 SV=1;tr|A0A3Q1N2V9|A0A3Q1N2V9_BOVIN Procollagen galactosyltransferase 1 OS=Bos taurus OX=9913 GN=COLGALT1 PE=3 SV=1,71.546,527260000,31418000,128490000,0,0,64805000,0,17058000,0,18437000,0,46162000,27057000,30847000,64354000,24105000
P12344;Q862Q8;Q862R2,P12344;Q862Q8;Q862R2,9;5;5,"sp|P12344|AATM_BOVIN Aspartate aminotransferase, mitochondrial OS=Bos taurus OX=9913 GN=GOT2 PE=1 SV=2;tr|Q862Q8|Q862Q8_BOVIN Similar to aspartate aminotransferase (Fragment) OS=Bos taurus OX=9913 PE=2 SV=1;tr|Q862R2|Q862R2_BOVIN Similar to aspartate amino",47.513,234150000,30992000,18121000,0,0,37968000,0,0,57081000,0,0,0,0,0,0,0
CON__Q5D862,CON__Q5D862,23,,248.07,2636300000,30099000,118270000,2998000000,0,0,0,0,0,0,0,7906100,30308000,2759300,24202000,30255000
F1MLG1,F1MLG1,3,tr|F1MLG1|F1MLG1_BOVIN Signal recognition particle receptor subunit beta OS=Bos taurus OX=9913 GN=SRPRB PE=1 SV=3,32.338,233020000,29320000,29214000,0,0,15851000,0,0,7222700,0,0,21938000,17811000,19665000,14148000,21619000
A6H7A2;A0A3Q1M5V8;A0A3Q1M5M9,A6H7A2;A0A3Q1M5V8;A0A3Q1M5M9,1;1;1,tr|A6H7A2|A6H7A2_BOVIN Adenosine aminohydrolase OS=Bos taurus OX=9913 GN=ADA PE=2 SV=1;tr|A0A3Q1M5V8|A0A3Q1M5V8_BOVIN Adenosine aminohydrolase OS=Bos taurus OX=9913 GN=ADA PE=3 SV=1;tr|A0A3Q1M5M9|A0A3Q1M5M9_BOVIN Adenosine deaminase OS=Bos taurus OX=9913 G,40.949,94160000,28333000,31751000,0,0,0,0,0,0,0,0,0,0,0,0,0
A3KN22;A0A3Q1MF04,A3KN22;A0A3Q1MF04,3;2,sp|A3KN22|UBC12_BOVIN NEDD8-conjugating enzyme Ubc12 OS=Bos taurus OX=9913 GN=UBE2M PE=2 SV=1;tr|A0A3Q1MF04|A0A3Q1MF04_BOVIN NEDD8-conjugating enzyme Ubc12 OS=Bos taurus OX=9913 GN=UBE2M PE=3 SV=1,20.9,147050000,27741000,0,0,0,20815000,0,0,0,0,30513000,0,0,0,0,0
Q05752,Q05752,4,sp|Q05752|NDUA7_BOVIN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Bos taurus OX=9913 GN=NDUFA7 PE=1 SV=2,12.676,162670000,27515000,17138000,0,0,0,0,0,0,0,0,0,16567000,22613000,16811000,20777000
Q2KJH7,Q2KJH7,18,tr|Q2KJH7|Q2KJH7_BOVIN Delta-1-pyrroline-5-carboxylate synthase OS=Bos taurus OX=9913 GN=ALDH18A1 PE=2 SV=1,87.193,561690000,27072000,130590000,0,0,41964000,0,0,0,16445000,0,39253000,57073000,35720000,31226000,29349000
E1B844,E1B844,9,tr|E1B844|E1B844_BOVIN Mitochondrial import inner membrane translocase subunit TIM44 OS=Bos taurus OX=9913 GN=TIMM44 PE=3 SV=2,52.003,164290000,26801000,14836000,19335000,0,17399000,0,28034000,0,0,19154000,0,0,0,0,0
Q32KL2,Q32KL2,4,sp|Q32KL2|PSB5_BOVIN Proteasome subunit beta type-5 OS=Bos taurus OX=9913 GN=PSMB5 PE=1 SV=1,28.609,96732000,26356000,16505000,0,0,0,0,0,0,0,0,0,0,0,0,0
P15690,P15690,9,"sp|P15690|NDUS1_BOVIN NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Bos taurus OX=9913 GN=NDUFS1 PE=1 SV=1",79.441,418810000,26348000,21986000,33752000,0,0,0,0,0,0,0,48619000,46556000,42356000,28406000,39651000
Q3SZC4,Q3SZC4,10,sp|Q3SZC4|NSF1C_BOVIN NSFL1 cofactor p47 OS=Bos taurus OX=9913 GN=NSFL1C PE=2 SV=1,40.653,200040000,26329000,26467000,0,0,0,0,17685000,0,21981000,0,0,0,0,0,0
Q2KJH4;F1MTP5,Q2KJH4;F1MTP5,17;17,sp|Q2KJH4|WDR1_BOVIN WD repeat-containing protein 1 OS=Bos taurus OX=9913 GN=WDR1 PE=2 SV=3;tr|F1MTP5|F1MTP5_BOVIN WD repeat-containing protein 1 OS=Bos taurus OX=9913 GN=WDR1 PE=4 SV=2,66.257,455960000,25839000,23110000,61071000,0,50100000,0,47071000,54919000,0,0,0,0,0,0,0
Q3T035;A0A3Q1MQH2,Q3T035;A0A3Q1MQH2,5;5,sp|Q3T035|ARPC3_BOVIN Actin-related protein 2/3 complex subunit 3 OS=Bos taurus OX=9913 GN=ARPC3 PE=1 SV=3;tr|A0A3Q1MQH2|A0A3Q1MQH2_BOVIN Actin-related protein 2/3 complex subunit 3 OS=Bos taurus OX=9913 GN=ARPC3 PE=1 SV=1,20.546,253900000,25812000,0,0,0,33372000,0,39989000,0,44147000,33485000,0,0,0,0,0
A0A3Q1MQM3;A7E3S8;A0A3Q1M4L0,A0A3Q1MQM3;A7E3S8;A0A3Q1M4L0,9;9;7,tr|A0A3Q1MQM3|A0A3Q1MQM3_BOVIN ST13 Hsp70 interacting protein OS=Bos taurus OX=9913 GN=ST13 PE=3 SV=1;tr|A7E3S8|A7E3S8_BOVIN Heat shock 70kD protein binding protein OS=Bos taurus OX=9913 GN=ST13 PE=2 SV=1;tr|A0A3Q1M4L0|A0A3Q1M4L0_BOVIN HipN domain-containi,42.371,186380000,25479000,21923000,0,0,0,0,0,0,0,16692000,0,0,0,0,0
F1MSQ9;A5D7N8;A0A3Q1MVE5;A0A3Q1LPP7;A0A3Q1MKK7;F1MCA8;P01251;P01250,F1MSQ9;A5D7N8;A0A3Q1MVE5;A0A3Q1LPP7;A0A3Q1MKK7;F1MCA8,10;10;9;9;8;7;2;2,tr|F1MSQ9|F1MSQ9_BOVIN Thymopoietin OS=Bos taurus OX=9913 GN=TMPO PE=1 SV=1;tr|A5D7N8|A5D7N8_BOVIN TMPO protein OS=Bos taurus OX=9913 GN=TMPO PE=2 SV=1;tr|A0A3Q1MVE5|A0A3Q1MVE5_BOVIN Thymopoietin OS=Bos taurus OX=9913 GN=TMPO PE=1 SV=1;tr|A0A3Q1LPP7|A0A3Q1,42.894,239420000,25064000,15506000,0,0,35519000,0,0,0,0,0,0,0,28765000,33244000,47064000
F6QHI8;A4FV23;A0A3Q1MFA6;F1MMK3,F6QHI8;A4FV23,4;4;1;1,tr|F6QHI8|F6QHI8_BOVIN RNA helicase OS=Bos taurus OX=9913 GN=DDX21 PE=1 SV=1;tr|A4FV23|A4FV23_BOVIN RNA helicase OS=Bos taurus OX=9913 GN=DDX21 PE=2 SV=1,86.902,94543000,24363000,10858000,0,0,0,0,0,0,0,0,0,0,0,0,25655000
Q08DP0;A0A3Q1LRD1;A6QPB5;F1MJS4,Q08DP0;A0A3Q1LRD1,3;3;1;1,sp|Q08DP0|PGM1_BOVIN Phosphoglucomutase-1 OS=Bos taurus OX=9913 GN=PGM1 PE=2 SV=1;tr|A0A3Q1LRD1|A0A3Q1LRD1_BOVIN Phosphoglucomutase-1 OS=Bos taurus OX=9913 GN=PGM1 PE=3 SV=1,61.589,94374000,23691000,15763000,17762000,0,0,0,0,0,0,0,0,0,0,0,0
A6QR35;A0A3Q1M8R7;A0A3Q1NFI0,A6QR35,3;1;1,tr|A6QR35|A6QR35_BOVIN Secretory carrier-associated membrane protein OS=Bos taurus OX=9913 GN=SCAMP2 PE=1 SV=1,36.703,193770000,22712000,18923000,0,0,25781000,19157000,0,0,0,39996000,0,0,0,0,0
A0A3Q1N4G7;A4FUY3,A0A3Q1N4G7;A4FUY3,5;5,tr|A0A3Q1N4G7|A0A3Q1N4G7_BOVIN Procollagen-proline 3-dioxygenase OS=Bos taurus OX=9913 GN=P3H1 PE=3 SV=1;tr|A4FUY3|A4FUY3_BOVIN Procollagen-proline 3-dioxygenase OS=Bos taurus OX=9913 GN=P3H1 PE=2 SV=1,82.949,73332000,22603000,13847000,0,0,0,0,0,0,0,0,0,0,0,0,0
P61282;A1XEA8,P61282;A1XEA8,2;1,"sp|P61282|NEDD8_BOVIN NEDD8 OS=Bos taurus OX=9913 GN=NEDD8 PE=3 SV=1;tr|A1XEA8|A1XEA8_BOVIN Neural cell-expressed, developmentally down-regulated protein 8 (Fragment) OS=Bos taurus OX=9913 GN=NEDD8 PE=2 SV=1",9.0714,135060000,22229000,0,0,0,44841000,0,0,0,0,29738000,0,0,0,0,0
